,text,name
Q3543831,"Serena Fang () is an actress and commercial model  from Taiwan. She is 165 cm tall and weighs 43 kg.  Filmography  Television series {| class=""wikitable"" |- ! Year !! Title !! Status !! Role |- | 2013",Serena Fang
Q3543838,Si  Shorty Yuen  ay isang artista sa Taiwan.   Kaurian:Mga artista mula sa Taiwan,Shorty Yuen
Q3543862," is a female singer-songwriter and hairdresser in Japan.   Musical characteristics  Nakayama plays an accordion and trumpet, in addition to vocals. She sings while playing the accordion while sitting ",Uri Nakayama
Q3543884," is a Japanese actor and singer. He is known for his role as Takeshi Momoshiro in the Prince of Tennis musical series, Tenimyu, and the live film adaptation. He was also part of a young men's stage ac",Masaki Kaji
Q3543927," is a Japanese actor.  Biography Ayano appeared in Takashi Miike's Crows Zero 2 (2009). His role in the film was described by Mark Schilling of The Japan Times as ""a tall, pale-faced, delicately featu",Gō Ayano
Q3543931,"Rio Akisada (秋定 里穂 Akisada Rio, born 8 September 1982 in Tokyo, Japan) is a Japanese actress.  External links  JMDb Profile (in Japanese) Profile at Breath Inc. (in Japanese)  Category:1982 births Cat",Rio Akisada
Q3544011," is a Japanese bikini model and singer who was born in Tokyo, Japan.   Performance work   CD   Daiji Daiji (Mahoraba ~ Heartful days Opening Song, with Shiraishi Ryoko)        Ai no kimochi (School Ru",Mio Saeki
Q3544051,"Maria Izadora Ussher Calzado (born August 12, 1982)http://www.igma.tv/profile/iza-calzado  is a Filipina actress, TV host and model, who previously worked as one of GMA-7's homegrown contract artists.",Iza Calzado
Q3544089,"Shibuya Momoko (渋谷桃子; born 15 March 1987 in Kanagawa Prefecture, Japan) is a Japanese actress. Shibuya deputed as a model when she was one year old. She has played the role of Minako Aino in the Sailo",Momoko Shibuya
Q3544103," is a Nikkei enka singer born in Buenos Aires, Argentina. She debuted in 2000 at the age of 18.   External links   Oshiro Vanesa Official Homepage  Vanesa Oshiro at Toshiba EMI  Category:1981 births C",Vanesa Oshiro
Q3544141,"Mich Dulce (born Michelle Dianne Lopez Dulce on May 8, 1981) is a Filipina fashion designer, milliner, corsetiere, actress and vocalist of bands Death By Tampon and Us-2 Evil-0.http://www.philstar.com",Mich Dulce
Q3544160,"Carlo Aquino (born Carlo José López Aquino, 3 September 1985) is a Filipino actor and musician known for being the lead singer of the band Kollide and formerly on JCS with John Prats and Stefano Mori.",Carlo Aquino
Q3544216,"Marc Tyler (born September 27, 1988) is an American football running back. He was originally signed as undrafted free agent by the Green Bay Packers of the National Football league. Tyler played colle",Marc Tyler
Q3544283," Johnny A. Sanchez (born May 14, 1982) is a stand-up comedian and actor, best known as a member of MADtv since its thirteenth season.  Career Johnny A. Sanchez has spent many years as a stand-up comed",Johnny A. Sanchez
Q3544308,"Maria Assunta Tiotangco Schiavone-Ledesma is a Filipina-Italian actress known by her stage name Assunta De Rossi. Her sister Alessandra De Rossi is also an actress, Both sisters have won the Best Actr",Assunta De Rossi
Q3544325," is a Japanese child actress　from Saitama Prefecture, Japan. She is a part of the Himawari Theatre Group.  Filmography Quotes from Yahoo!People Directory(Japanese) Movies   (2008)   (2008)   (2009)   ",Rio Sasaki
Q3544331,"Yuka Nomura (野村 佑香; Nomura Yūka b. March 20, 1984 in Yokohama, Kanagawa Prefecture, Japan) is a Japanese actress.  Filmography   (1994)  新生 トイレの花子さん (Shinsei toire no hanako-san) (1998)   (2001)  Kan-",Yuka Nomura
Q3544357," (born ) is a Japanese actress. , she is  tall, measurements 79-58-82 cm (31-23-32 in), size 24.  Miyashita is most famous for her portrayal of ""F"" in the J-Horror movie Marebito by Takashi Shimizu. S",Tomomi Miyashita
Q3544383," (born 3 July 1985) is a Japanese actor and singer. He is  best known for his role as Kunimitsu Tezuka in the Prince of Tennis musical series, Tenimyu, of the third generation Seigaku cast. He is one ",Keisuke Minami
Q3544399," is a Japanese gravure idol, actress and model. She was born in Izumi-ku, Yokohama, Kanagawa, Japan. She is also known as her nickname ""Yuka-chin"", and has starred in a number of TV dramas and films. ",Yuka Kosaka
Q3544416," in Tokyo, Japan is a Japanese actress and voice actress. She is affiliated with Oscar Promotion.  Filmography   Sue, Mai & Sawa: Righting the Girl Ship (2012)   Voice roles  Bold denotes leading role",Ai Takabe
Q3544427, is a Japanese actress.  Kanasawa is best known for the role of Yukiko Kitano in Battle Royale.  References  Category:Japanese actresses Category:1985 births Category:Living people,Yukari Kanasawa
Q3544546,"Eiraliz Bermudez (born September 6, 1983 in Pampanga, Philippines), better known as Aira Bermudez, is a Filipina dancer and actress. She is the current leader of Philippine dance group, the SexBomb Gi",Aira Bermudez
Q3544566,"Celestine Cruz ""Toni"" Gonzaga (born January 20, 1984), better known as Toni Gonzaga, is a Filipino singer, television host, and actress. She started her career in GMA Network then later moved to ABS-C",Toni Gonzaga
Q3544591,", also known as Risa Koda and Risa Kouda (for softcore appearances), is a Japanese model and adult video (AV) actress.  Life and career  AV debut and early career Coda made her debut in adult videos i",Risa Coda
Q3544612, is a Japanese fashion model and a newly launched J-pop singer.http://avexnet.jp/id/saram/index.html Her singing style was compared by Oricon to Pink's.http://www.oricon.co.jp/news/music/75095/full/ht,Mary Sara
Q3544614," is a Japanese actor born in Kagoshima Prefecture. He is 180 cm tall and weighs 62 kg. He specializes in Shorinji Kempo.  He is best known for playing Sōsuke Aizen in the Rock Musical BLEACH series, a",Kengo Ohkuchi
Q3544627," is a Japanese actor, entertainer and singer. He is  best known for his role as Yagyū Hiroshi in The Prince of Tennis musicals. He was one of PureBOYS.   Filmography   Television Ren'ai Shindan ~Sayon",Toru Baba
Q3544648," is a Japanese vocalist. Rie graduated from Dokkyo University in March 2004.   Biography   Rié grew up in Kumamoto, Japan. When she was very young, her parents enrolled her in music lessons at the ear",Rie Furuse
Q3544652, is a Japanese actress.  Ohta is known for her role as Hitoe Takeuchi in the film Battle Royale II: Requiem. Ohta also filled a minor role in the film Battle Royale: Special Version as one of Mitsuko ,Nanami Ohta
Q3544670,"Yukari Mizuno (水野友加里 Mizuno Yukari, born October 5, 1986 in Tokyo, Japan)  is a Japanese actress who appeared in movies such as Ice Memory, Director! and The sign man falling in love.  Filmography  「ア",Yukari Mizuno
Q3544699," is a Japanese actress. She played Kaori Minami in Battle Royale.""Mai Sekiguchi."" Ohta Pro. Retrieved on January 22, 2009.  References  External links  Mai Sekiguchi - Ohta Pro      Category:Living pe",Mai Sekiguchi
Q3544706,"Jairus Reuel Balagtas Aquino""Jairus Aquino biography"". IMDB. Retrieved 28 May 2014. (born 1 April 1999), simply known as Jairus Aquino,  is a Filipino actor.  He appeared in several television adverti",Jairus Aquino
Q3544735,"Gabriela Annjane ""Ella"" Umali Cruz (born August 17, 1996 in Angat, Bulacan, Philippines), is a Filipina actress, model, product endorser, host, commercial model and dancer. She become more popular in ",Ella Cruz
Q3544737,"Victor Basa (born June 6, 1985) is a Filipino model, actor, radio V.J., and a television host.  Victor is the middle child of three, with a younger brother and older sister.  Modeling career Basa bega",Victor Basa
Q3544753,"Jade Goto (born 16 September 1981), better known by his stage name Jay'ed (stylised as JAY'ED) is a Japanese R&B singer-songwriter. He debuted under Toy's Factory in 2007, and is most known for his si",Jay'ed
Q3544870, is a Japanese actor and voice actor.  Roles  Television drama Ai no Inoie ~ Nakimushi Sato to Shichinin to Ko Bengoshi Sako Mariko no Yuigon Sakusei File Matamo ya Metaka Teishu-dono ~Bakumatsu no Me,Sōta Murakami
Q3544916," (born 5 June 1984) is a Japanese singer.   Discography    Single   AH! MY GODDESS OST - ""Try To Wish"" 〜キミに必要なもの〜 (2000)  ""No Pain no gain"" (2001)  Star Ocean EX ED Single - ""Hearts"" (2001)  Albums  S",Saori Nishihata
Q3544933," (born July 16, 1992, Tokyo, Japan), simply known as , is Japanese voice actress and singer. She sings backing vocals for Gorie.   Discography   Singles   [2004.09.08] Mickey (September 8, 2004)  [200",Joann Yamazaki
Q3544960,"Ayumi Oka (岡あゆみ Oka Ayumi, born September 18, 1983 in Tsu, Mie, Japan) is a Japanese actress.  External links   Profile at Stardust  Category:1983 births Category:Living people Category:Japanese actre",Ayumi Oka (actress)
Q3544965,"Ronald Steele (born April 22, 1986) is an American basketball player.  He played college basketball for the University of Alabama.  He currently plays professionally for PMS Torino in Italy.  High sch",Ronald Steele
Q3545078,"Alessandra Tiotangco Schiavone , better known by her stage name Alessandra De Rossi or Alex de Rossi / Ales de Rossi (born July 19, 1984 in England, United Kingdom), is an Italian-Filipina actress. Sh",Alessandra De Rossi
Q3545081,"Angelica Panganiban (born November 4, 1986) is a Filipino film and television actress.  Panganiban started her career at the age of 6 when she appeared in the TV show, Love Note. Her first regular sho",Angelica Panganiban
Q3545152, is a Japanese actress.  Mimura is best known for her role as Kayoko Kotohiki in Battle Royale.  She also appears as a supporting role in Linda Linda Linda.   External links   Category:Japanese actres,Takayo Mimura
Q3545173,"Risa Honma (born April 16, 1990) is a Japanese idol born in Tokyo. She is mostly famous for the roles of CereCere and Sailor Mars in SeraMyu.   Musicals   Kessen / Transylvania no Mori (Kaiteiban) - S",Risa Honma
Q3545180," is a Japanese actress and model.   Takahashi made her acting debut in 2004, playing the role of Amano Sora in TV Asahi's Sky High 2. In 2005 she made her film debut as Fumie Hayashida in Simsons. Sin",Mai Takahashi
Q3545196," was a pin-up model and aspiring actress for an agency in Tokyo, Japan. She was murdered by her 21-year-old brother  (born 1985) on December 30, 2006. Her death aroused the tabloids' notice for the ci",Azumi Muto
Q3545236,"Jim Pangan (Born September 2, 1983) is a Filipino singer, songwriter. The lead vocalist of Check, band based in the Philippines, In a country where talented bands are born almost everyday, Check strug",Jim Pangan
Q3545239,"Denise Maria Sanz Laurel (born September 30, 1987) is a Filipina actress and singer. She is best known for playing roles in various ABS-CBN dramas, such as Precious Hearts Romances series' Midnight Ph",Denise Laurel
Q3545292,"Shaina García Magdayao (born on November 6, 1989 in Quezon City, Philippines), is a Filipina actress, dancer, singer and model. She is currently under ABS-CBN Management and a member of Star Magic.   ",Shaina Magdayao
Q3545299,"Eda Nolan (born Eda Kristy Cabilan on December 14, 1988) is a Filipino actress, best known for her role as Junniper, the shy, 'promdi' girl, in ABS-CBN's sitcoms, Let's Go and Gokada Go. Nolan has bee",Eda Nolan
Q3545313,"Rainier Joseph Diaz Castillo, better known simply as Rainier Castillo (born October 21, 1985 in Quezon City, Philippines), is a Filipino actor, singer, model, and dancer. His father lives in Winnipeg,",Rainier Castillo
Q3545362,"Michael Richard Wayans (born March 28, 1985) is an American actor.  He is the son of actor and comedian Damon Wayans, Sr. and part of the Wayans family.  Life and career Wayans was born in Los Angeles",Michael Wayans
Q3545375,"Antonello Joseph ""AJ"" Sarte Perez (February 17, 1993 – April 17, 2011)  was a Filipino actor. He was a member of ABS-CBN's  Star Magic in Batch 13. He portrayed one of the lead characters in the 2009 ",AJ Perez
Q3545402,"Jewel Fatima Avejade Mische (born June 29, 1990 in Manila, Philippines) is a Filipina actress.  Biography Although born in Manila, Jewel grew up in Bulacan. Her father is of German-Spanish-American de",Jewel Mische
Q3545440,"Akifumi Miura (三浦アキフミ, or 三浦哲郁; born 16 November 1981) is a Japanese actor. He made his debut in the popular 2001 film Waterboys.  Selected filmography 2005 Germanium no yoru 2005 Tomie: Beginning 200",Akifumi Miura
Q3545441," is a Japanese actress.   Movies  Hinokio (2005) Kamen Rider THE FIRST (2005) ZOO (2005) Kogitsune Helen (2006) Wangan Midnight (2009)   Dramas   Ichiban Taisetsu na Hito wa Dare Desu ka (NTV, 2004)  ",Ryoko Kobayashi
Q3545463," (born February 3, 1986 in Nakano, Tokyo, Japan) is a Japanese actress, comedian, and tarento, who has been featured in Cartoon KAT-TUN, the live-action drama Otomen, and collaborated on the music for",Kanako Yanagihara
Q3545492, is a Japanese actress and model signed to Stardust Promotion. She is well known for portraying Yuki in Cutie Honey: The Live.  Career Takeda made her first appearance as a model at the age of 11 in t,Makoto Takeda
Q3545522,"Jake Weary (born Jacob Weary on February 14, 1990) is an American actor, singer and musician. He is known for his famous speaking role Kevin Kunt, in the Fred series.  Biography  TV and TV Movie Caree",Jake Weary
Q3545533,"Rhian Denise Ramos Howell, who is better known by her stage name Rhian Ramos (born October 3, 1990 in Makati City, Philippines), is a Filipino actress, commercial model and singer.  Biography Rhian Ra",Rhian Ramos
Q3545558,"Tony Yang (; born 30 August 1982, in Taiwan) is a Taiwanese film actor famous for his work in Hong Kong.  Filmography {|class=""wikitable"" width=""65%"" |- style=""background:green; color:snow"" align=cent",Tony Yang
Q3545561,Si  Asuka Shibuya  ay isang artista sa bansang Hapon.   Kaurian:Mga artista ng bansang Hapon,Asuka Shibuya
Q3545571,"Christian Joseph Morata Bautista (born October 19, 1981), more popularly known by his screen name Christian Bautista, is a Filipino singer, actor, host, and model. He was a finalist of Star In A Milli",Christian Bautista
Q3545580," (born December 13, 1993) is a Japanese singer that debuted under the Avex Trax label in 2009. She is known by her stage name of Jurian Beat Crisis (stylized as JURIAN BEAT CRISIS and often shortened ",Jurian Beat Crisis
Q3545591,"Michael Warren Bush, Jr. (born June 16, 1984) is an American football running back who is currently a free agent. He was drafted by the Oakland Raiders in the fourth round of the 2007 NFL Draft. He pl",Michael Bush
Q3545608,"Juan Carlos ""Jake"" Leveriza Cuenca (born December 30, 1987) is of Filipino-Spanish descent (His father is Spanish while his mother is Filipina). He was born in San Jose, California but was raised in M",Jake Cuenca
Q3545683,"Sugar Mercado (born September 13, 1986) is a Filipina dancer and actress. She was one of the hosts of the popular GMA Network noontime variety show Eat Bulaga. She was dropped by the show in 2007.  Bi",Sugar Mercado
Q3545750,"   Bianca Gonzalez-Intal (born March 11, 1983) is a Filipina TV host and model. She is now married to PBA Cager JC Intal  Writer Her first job in ABS-CBN was with production, where she was a brainstor",Bianca Gonzalez
Q3545804,"Diofanny Jane Paguia (born January 3, 1983 in Manila, Philippines), known professionally as Jopay Paguia, is a Filipina singer, dancer and actress. She is a former and original member of the SexBomb G",Jopay Paguia
Q3545812," is an enka singer and child actress. In 2008, she made her debut with the single  at the age of 10. In 2009, she received a ""New Artist""http://www.tokyograph.com/news/51st-japan-record-awards-announc",Maya Sakura
Q3545822, is a Japanese vocalist and actor currently part of the J-pop group Run&Gun. He was born in Osaka. He was part of the casts of Musical Air Gear with his fellow band members and is a voice actor for Yu,Yuya Miyashita
Q3545826,", is a popular Japanese female singer-songwriter. Her second single ""Be Strong"" was used as the first opening theme of anime series Kenichi: The Mightiest Disciple.   Discography   Singles   ""Fall"" (M",Kana Yazumi
Q3545867,"Kathryn Chandria Manuel Bernardo (born 26 March 1996 in Cabanatuan City, Philippines), known as Kathryn Bernardo, is a Filipina actress. She is best known for her role as Mara in the primetime Filipin",Kathryn Bernardo
Q3545920," is a Japanese actor, musician and fashion model. He was born February 3, 1982 in Argentina as , but uses the stage name ""Kanata."" This comes from his grandfather on his father's side, who gave him a ",Kanata Irei
Q3546116,"Gian Carlos (born Gian Carlo S. Ho on April 3, 1989 in Iloilo City, Philippines) is a Filipino actor. He was one of the Final Four of StarStruck Batch 3 where he finished behind Marky Cielo for the ti",Gian Carlos
Q3546167,"Maui Taylor (born Maureen Anne Rodriguez Tupaz; June 28, 1983) is a Filipino-English model, singer, and actress.  Career Taylor initially got into show biz with the assistance of a cousin who was a me",Maui Taylor
Q3546215," is a Japanese actor.  Kanai starred as Tamotsu Yoshizawa in L: Change the WorLd.""News"" (Japanese). L: Change the WorLd. He has also starred in Ikigami: The Ultimate Limit.  References  External links",Yuta Kanai
Q3546246,"Mika Kamita (カミタ ミカ Kamita Mika, born June 19, 1982) is a Japanese singer and songwriter. She was born in Hirado, Nagasaki, Japan. She auditioned three times before she got a musical contract. Her fir",Mika Kamita
Q3546277," is a Japanese gravure idol, and also a female talent. She is from Tokyo, belongs to the show-business production 'Metal Box'. Her nickname is 'Burin' (means a piggie), derives from her hobby collecti",Natsume Sano
Q354638,"Choi Dong-wook (born November 9, 1984), better known by his stage name Se7en, is a South Korean singer from YG Entertainment. He has also advanced into Japan, China and the United States.  Career  200",Seven (Korean singer)
Q3546506,"Ryan Mallett (born June 5, 1988) is an American football quarterback for the Houston Texans of the National Football League (NFL).  He was drafted by the New England Patriots in the third round of the",Ryan Mallett
Q3546636,"Cris Villonco is a Filipino performance artist whose credits include performances in theater, television, film, album recordings, music videos, and advertisements.  She is currently associated with Re",Cris Villonco
Q3546663,"Mark Bautista (born August 10, 1983 in Cagayan de Oro City, Philippines) is a Filipino singer, actor and commercial model. Bautista received his career break when he became a grand finalist on the Phi",Mark Bautista
Q3546671,"Gretchen Stephanie Mendiola Espina (born January 8, 1988 in Quezon City, Philippines) is a Filipino singer and actress who rose to notability after winning Pinoy Idol, an interactive reality-based sin",Gretchen Espina
Q3546709,"Gian Karl G. Barbarona (born December 3, 1993) is a young Filipino singer who was the 1st runner-up (2nd Honor) on the first season of ABS-CBN's Little Big Star.   Song List  Some of the songs Giant h",Gian Barbarona
Q3546723,"Lyle Areanne Lopez (born on June 1, 1985 in Quezon City) is a Filipino actor and  singer. Lyle Lopez formerly known as L.A. Lopez was ""discovered"" by the comedy king Dolphy Quizon in a talent search t",L.A. Lopez
Q3546728,"Luis Philippe Santos Manzano (born April 21, 1981), also known by his nickname Lucky, is a Filipino actor, TV host, VJ and model. He is the son of award-winning actors, Edu Manzano and Vilma Santos. H",Luis Manzano
Q3546743,"Aaron Corp (born March 6, 1989) is an American football quarterback who is currently a free agent. He was signed as undrafted free agent by the Buffalo Bills in 2012 and was briefly with the Dallas Co",Aaron Corp
Q3546749,"Monica Pauline ""Nikki"" Gil (born August 23, 1987, Manila, Philippines) is a Filipino singer, actress, host, model and a present myx VJ.  She is known for being part of the afternoon remake of Carlo J.",Nikki Gil
Q3546833," is a female talent of Japan. She is from Iwate, belongs to the show-business production ""Avant-gardes"". She was a gravure idol (Japanese term: swimsuit/bikini model).   Career  She won the prize of M",Erika Yamakawa
Q3546863," is a Japanese singer and musician from Kanagawa Prefecture, Japan. Formerly signed with Victor Entertainment, he has his own independent label, Hit-o-ride Records.   Biography  Isogai's father chose ",Simon Isogai
Q3546871,", (born August 24, 1982), known by his stage name , is a Japanese former actor. Sawaki works as a tax advisor in his native Osaka, Japan.  Filmography  Audition (1999)  A Closing Day (閉じる日) (2000)  Bo",Tetsu Sawaki
Q3546889," is a Japanese gravure idol, and a female talent.  She is best known for her voluptuous figure. She is from Saitama, and her nickname is 'Nonamin'. She retired from modeling as of 2011.   Bibliography",Nonami Takizawa
Q3546903,Marina Kuroki (黒木マリナ) is an actress best known for her appearances in the Sailor Moon musicals series. She starred in the Sailor Moon musicals as the lead role of Usagi Tsukino at the age of 12 and fi,Marina Kuroki
Q3547058,"Nadine Burgos Eidloth (born March 2, 1988 in Rosenheim, Bavaria, Germany) known by her stage name Nadine Samonte, is a Filipina actress and commercial model.  She participated as an Avenger of the fir",Nadine Samonte
Q3547075,"Solenn Heusaff (born on July 20, 1985) is a Filipina VJ, actress, TV host, model, singer, fashion designer, painter, and professional make-up artist. She was one of the official castaways of Survivor ",Solenn Heussaff
Q3547104,"Tanya Katherine Rosales Lyttle, more popularly known by her screen name Tanya Garcia (born August 5, 1981), is a Filipina telenovela and film actress. She became a household name after playing Cecilia",Tanya Garcia
Q3547293,"Yuya Toyoda (豊田 裕也 Toyoda Yuya) born December 28, 1988 (age 22) in Tokyo is a Japanese actor and entertainer. He played Shuichiro Oishi of the fourth generation Seigaku cast in The Prince of Tennis mu",Yuya Toyoda
Q3547403,"Colton James ""Colt"" Brennan (born August 16, 1983) is an American professional football quarterback who is currently a free agent. He was drafted by the Washington Redskins in the sixth round of the 2",Colt Brennan
Q3547454,"Jon Avila, Jonathan Mullallyhttp://celeb2.pinoybigbrother.com/tabid/550/xmmid/387/profile/7630/name/Will/xmview/2/Default.aspx (born 1 September 1985) is a Filipino-Irish actor, model and former house",Jon Avila
Q3547905," is a Japanese idol, tarento, actress, and former race queen.  Filmography  Films 2007  2006 Kamen Rider Kabuto: God Speed Love 2004 A Litre of Tears  2005 Gurozuka  Anime Films 2006 Bleach: Memories ",Chisato Morishita
Q3547917, is Japanese model and actress.  Career Ishibashi starred in Ryuichi Hiroki's Your Friend in 2008. She was given a Best New Talent award at the 2008 Yokohama Film Festival. She appeared in Koji Maeda',Anna Ishibashi
Q3547949," (born 1 August 1985 in the former Urawa, Saitama) is a Japanese actress and model. She has starred several TV dramas such as Haken no Hinkaku (2007). She graduated from Kyoritsu Women's University in",Noriko Iriyama
Q3548003,"Riza Santos (born August 31, 1986) is a Canadian television personality, Actress and beauty queen who was crowned Miss Earth Canada 2006, Miss World Canada 2011 and Miss Universe Canada 2013.    Perso",Riza Santos
Q3548044,"Giancarlo ""Gian"" Alzate MagdangalGuy with a Big Heart Philippine Idol features section (born November 18, 1981 in Manila, PhilippinesGian Magdangal Contestant Profile Philippine Idol official website)",Gian Magdangal
Q3548145,"John Paulo Quiambao Prats (born February 14, 1984 in Manila, Philippines) is a Filipino actor, comedian, dancer, TV host, model and entrepreneur. He started as a child star in year 1992. He is the old",John Prats
Q3548187," (born July 20, 1987) is a Japanese actor and singer. He is known for his role as Jenath Dira in the Get Ride! Amdriver anime series and Kaoru Kaidoh and The Prince of Tennis musical series, Tenimyu, ",Kōsuke Kujirai
Q3548210," is a Japanese actress and model. She is one of the models featured in the video game Need for Speed: ProStreet, and acts alongside fellow professional model Krystal Forscutt. She also performed a min",Sayoko Ohashi
Q3548252," is a Japanese gravure idol and actress.  Life and career Noriko was born in Nagano Prefecture, Japan on March 22, 1988. She was one of the winners at the 2005 Seikore competition, short for Zenkoku J",Noriko Kijima
Q3548366," is a Japanese actor. Even though he and fellow Kamen Rider Kabuto: God Speed Love-exclusive Rider actor Mitsuki Koga/Kamen Rider Ketaros were only Kamen Riders within the movie, they did make a guest",Katsuya Kobayashi
Q3548514," is a Japanese R&B singer of Filipino-Spanish descent. She debuted as a musician in 2008 with the song ""Because...,"" a collaboration with LGYankees. Since then, she has been a staple in the Japanese d",Maiko Nakamura
Q3548532," is a Japanese actor and singer. He played Ootori Chotarou in The Prince of Tennis movie and The Prince of Tennis musicals.  His first CD, named 逆光, was released on 7 November 2007, and contained 9 so",Koji Date
Q3548545," (born June 21, 1982) is a Japanese stunt performer and suit actor from Takarazuka, Hyōgo Prefecture affiliated with Japan Action Enterprises. He has been cast in many leading roles in the Super Senta",Jun Watanabe
Q3548661," (born October 13, 1983) is a South Korean actress and former member of Japanese bands Brandnew Biscuits and Memory Cats.   Filmography    TV series   여고시절 (SBS, 2002)  Ucchan Nanchan no Urinari!! (NT",Yuny Han
Q3548696," is a  Japanese female singer and used to be a gravure idol, actress and a teen idol, had belonged to the show-business production LesPros Entertainment from 1999 to 2008. She is from Komaki, Aichi, a",Miku Ishida
Q3548761,"Yasmien Yuson Kurdi-Soldevilla (born 25 January 1989 in San Juan, Metro Manila, Philippines), popularly known as Yasmien Kurdi, is an award-winning Filipina actress, voice actress, singer-songwriter a",Yasmien Kurdi
Q3548859,"Aljin Abella (born 27 July 1985 age 28), also known as Alin Abella, is an Australian actor of Filipino descent, who is best known for playing Theo Martin, the Blue Ranger on Power Rangers: Jungle Fury",Aljin Abella
Q3548979,"Eduardo Siaboc, Jr. (born January 21, 1987) also known as Jay-R Siaboc, is a Filipino TV actor and singer. He started as a student of Pinoy Dream Academy and became a first runner-up next to the grand",Jay-R Siaboc
Q3548993,"Maxene Sofia Maria Arroyo Magalona (born November 23, 1986 in Manila, Philippines) is a Filipina actress who is currently under ABS-CBN. Being a former GMA 7 talent, she is known for her portrayal as ",Maxene Magalona
Q3549065,"Ronnie Liang (born January 31, 1993) is a Filipino singer. He is the former finalist of the popular reality-talent search franchise in the Philippines, Pinoy Dream Academy. He was the second runner-up",Ronnie Liang
Q3549111,"Laarni Lozada (born Laarni Losala on June 23, 1985) is a Filipino pop, ballad, classical, and soul singer. She is the winner of Pinoy Dream Academy (Season 2), Philippine franchise of Endemol's Star A",Laarni Lozada
Q3549294,"Yeon Woo is a South Korean pop singer signed to MBC. In 1999, she and four other Korean singers formed girl group T.T.MA, in which she used the stage name Yu Jin. After their 2002 breakup, which she l",Yeon Woo
Q3549398,"Mao Miyaji (宮地真緒;, Miyaji Mao, born February 2, 1984 in Sumoto, Hyōgo Prefecture, Japan) is a Japanese actress.Entry at TokyoGraph Database. Retrieved 9 December 2010.  {| border=""2"" cellpadding=""4"" c",Mao Miyaji
Q3549470, is a Japanese singer and actor. He is part of the J-pop and acting group Run&Gun. He was born in Osaka.   He started his career as a Johnny's Jr. but left the company early to join the dance group DA,Kousuke Yonehara
Q3549483," is a  Japanese singer, a voice actress, and is an undergraduate school student of Tokyo University, one of the top-level research universities in Japan. Her real name is , and she is sometimes affect",Nao Sakamoto
Q3549941,Yuuki Burns (バーンズ勇気)  Kapanganakan: 27 Disyembre 1992  Tirahan: Kanagawa  Dugo: O  Taas: 176 cm  Nasyonalidad: Amerikanong-Hapon  Ahensiya: Stardust Promotions  Kaya ni Yuuki na tumugtog ng mga tambol,Yuuki Burns
Q3549949,"  Anoop Desai (born December 20, 1986) is an American singer-songwriter best known for his time as a contestant on the eighth season of American Idol. Motivated by the death of his friend Eve Carson, ",Anoop Desai
Q3549969,Gouki Maeda (前田 公輝)  Kapanganakan: 3 Abril 1991  Tirahan: Kanagawa  Ahensiya: Holy Pro Improvement Academy  Dugo: A  Taas: 172 cm  Si Gouki Maeda Mga Detalye Libangan ang paggawa ng mga lungsod at tre,Gouki Maeda
Q3550092,Si  Doris Lai  ay isang artista sa Taiwan.   Kaurian:Mga artista mula sa Taiwan,Doris Lai
Q3550232,"John Lloyd Cruz (born June 24, 1983) is a Filipino actor, model, and occasional TV host. His career started with appearances in numerous teen-oriented movies and TV shows. He is a member of ABS-CBN's ",John Lloyd Cruz
Q3550240,"Bea Alonzo (born October 17, 1987 Cainta, Rizal, Philippines), is a British - Filipina film and television actress, host and singer. She is currently part of ABS-CBN contract talents.  Early life Bea ",Bea Alonzo
Q3550248,"Kristine Hermosa Orille Sotto (born September 9, 1983) is a Filipina actress. She is well known for portraying the role of Ynamorata ""Yna"" Macaspac in the primetime drama series, Pangako Sa 'Yo.  Biog",Kristine Hermosa
Q3550254,"Anne Ojales Curtis-Smith, also known as Anne Curtis-Smith or simply Anne Curtis (born 17 February 1985 in Yarrawonga, Victoria, Australia), is a Filipino-Australian actress, television host, recording",Anne Curtis
Q3550312,"María Inés Guerra Núñez (born July 1, 1983 in Guadalajara, Jalisco, Mexico), commonly known as María Inés, is a Mexican TV-hostess and singer.http://www.imdb.com/name/nm1368847  In 2002 gained fame af",María Inés
Q3550374,"Patrick Garcia (born Franz Patrick Velasco Garcia on September 14, 1981) is a Filipino actor, best known for his role as Ryan in the acclaimed Philippine movie Madrasta and Nathanael Cordero in the TV",Patrick Garcia
Q3550456,"Arthur Bernard Dolino Lui Pio (born February 8, 1982) is a solo-artist and former guitarist and vocalist of the now-disbanded band Hale. He is publicly recognized by the name ""Champ"" or ""Champ Lui-Pio",Champ Lui Pio
Q3550495,"Fatima Irish Fullerton (born July 26, 1983) is an American singer and actress, she is a scholar of Pinoy Dream Academy.  Irish is a member of ABS-CBN's elite circle of homegrown talents namely, Star M",Irish Fullerton
Q3550642,"Carla Angeline Reyes Abellana is a Filipina actress and commercial model who played the lead role in the Philippine adaptation of the Mexican telenovela, Rosalinda, aired in GMA Network.PEP: Newcomer ",Carla Abellana
Q3550754, is a Japanese actress.   Regular roles  {|class=wikitable !Year !! Show (Japanese/Romaji) !! Role !! Produced By |- | 1994 | 陽のあたる場所Hi no ataru basho | 愛Ai | Fuji Television |- | 1994 | ママのベッドへいらっしゃい,Honami Tajima
Q3550763,Si  Kyoko Nakajima  ay isang artista sa bansang Hapon.      )  Kaurian:Mga artista ng bansang Hapon,Kyoko Nakajima
